"Mountain"	"Elevation"	"Latitude"	"Longitude"
"Jelení vrch"	875.0	50.155433333333335	17.3897
"Vlčí hora"	704.0	49.810566666666666	12.855483333333334
"Úhošť"	593.0	50.358866666666664	13.23835
"Dubina"	553.0	49.77546666666667	16.68095
"Hradisko"	518.0	49.201	17.121166666666667
"Bacín"	499.0	49.89665	14.1032
"Českolipský Špičák"	459.0	50.70268333333333	14.549183333333334
"Deblík"	459.0	50.584716666666665	14.0534
"Ressl"	413.0	50.50696666666666	13.61725
"Dlouhé stráně"	1353.0	50.0713	17.156716666666668
"Slunečná"	802.0	49.839416666666665	17.4293
"Koníček"	850.0	50.34175	16.93835
"Ulíkovská hora"	710.0	49.43875	13.05385
"Žlíbský vrch"	1133.0	48.93508333333333	13.728783333333332
"Ortel"	554.0	50.74901666666667	14.632583333333333
"Hradišťský vrch"	780.0	48.739916666666666	14.54
"Drastihlava"	695.0	49.338166666666666	17.901416666666666
"Vrchhůra"	692.0	49.43983333333333	18.024566666666665
"Háj"	631.0	49.97083333333333	16.934
"Hrazený"	610.0	50.975566666666666	14.42615
"Jezvinec"	739.0	49.32245	13.069833333333333
"Ostrý vrch"	709.0	49.67681666666667	18.75045
"Jelenská hora"	1068.0	48.8289	13.882066666666667
"Petrovský vrch"	778.0	49.99418333333333	17.071616666666667
"Javor"	693.0	50.82568333333333	14.500833333333333
"Smrčí"	568.0	49.427483333333335	13.269766666666667
"Tichavská hůrka"	543.0	49.58108333333333	18.201466666666665
"Maleník"	479.0	49.514433333333336	17.677966666666666
"Tachovský vrch"	466.0	50.53845	14.6463
"Hůrka"	546.0	50.00885	16.348716666666668
"Kamenec"	1073.0	48.58513333333333	14.66965
"Klenovec"	839.0	48.97186666666666	14.097783333333334
"Berkovský vrch"	480.0	50.55671666666667	14.580116666666667
"Skalnatý hřbet"	1078.0	48.90656666666667	13.681683333333334
"Zadní vrch"	713.0	49.95166666666667	17.531466666666667
"Blaník"	638.0	49.641866666666665	14.87305
"Chotovický vrch"	498.0	50.74516666666667	14.5415
"Doubravská hora"	393.0	50.6385	13.860183333333334
"Spálený"	1013.0	49.09125	13.468366666666666
"Buglata"	832.0	48.962916666666665	14.19875
"Melechov"	715.0	49.638416666666664	15.320016666666668
"Velká Tisová"	692.0	50.83861666666667	14.5473
"U Slepice"	439.0	49.10026666666667	17.04915
"Ktišská hora"	911.0	48.925583333333336	14.1202
"Raškovská bouda"	801.0	50.063066666666664	16.896016666666668
"Hrachovec"	776.0	49.28066666666667	18.12405
"Kluk"	741.0	48.9238	14.329466666666667
"Svobodná hora"	640.0	49.12305	14.116666666666667
"Na Peklech"	606.0	49.55263333333333	18.140633333333334
"Děčínský Sněžník"	724.0	50.79131666666667	14.104233333333333
"Černá hora"	662.0	49.59945	12.761133333333333
"Stráž"	630.0	50.5623	15.557
"Doubská hora"	610.0	50.204	12.846583333333333
"Borný"	446.0	50.58936666666666	14.6629
"Blatný vrch"	1376.0	48.964533333333335	13.4486
"Přilba"	1221.0	49.0406	13.6178
"Lemešná"	950.0	49.35641666666667	18.39525
"Bílé skály"	922.0	50.2311	17.2502
"Lipská hora"	689.0	50.51245	13.912833333333333
"Velká Jehličná"	828.0	50.31935	13.07815
"Spálený vrch"	668.0	49.373533333333334	12.882566666666667
"Skočický hrad"	667.0	49.1692	14.096383333333334
"Zámecký vrch"	538.0	50.791466666666665	14.433633333333333
"Sutomský vrch"	505.0	50.50686666666667	13.97765
"Vysoká hole"	1465.0	50.0627	17.2356
"Hůrka"	817.0	50.11826666666666	12.89395
"Kumburk"	642.0	50.493316666666665	15.445883333333333
"Lipka"	473.0	50.69518333333333	14.7628
"Sychrov"	463.0	49.2738	16.551633333333335
"Žárový vrch"	1101.0	50.10885	17.310866666666666
"Slavíč"	1055.0	49.56825	18.5887
"Homole"	681.0	49.88093333333333	12.7993
"Starojický kopec"	496.0	49.58293333333334	17.9634
"Libhošťská hůrka"	494.0	49.610366666666664	18.075883333333334
"Křemenná"	1085.0	48.87903333333333	13.936983333333334
"Rudná hora"	915.0	50.0465	17.116133333333334
"Okrouhlice"	832.0	49.5077	18.46875
"Třebouňský vrch"	825.0	50.01416666666667	13.002233333333333
"Stírka"	706.0	49.4145	13.5493
